Anyone can do that.	任何人都可以做到。
I felt hungry after the long walk.	長途步行後我覺得餓了。
I'm starting to dislike her.	我开始不喜欢她了。
I look forward to hearing from you.	我期待收到你的來信。
Make sure you get plenty of rest.	你務必要好好地休息。
Didn't you see the man?	你沒看見那個人嗎？
My stomach's full.	我吃得很飽。
Felicja likes to watch TV.	Felicja喜歡看電視。
A good idea came to me.	我有一个好主意。
Mary has just come home.	瑪麗剛剛回家。
He dropped his books on the floor.	他的書掉在地板上了。
The couple had a son.	这对夫妇生了个儿子。
My uncle made me serve as interpreter.	我叔叔讓我擔任翻譯。
You are not to leave this room.	你不應該離開這個房間。
He has been studying for two hours.	他学了两个小时。
My nickname is "Itch."	我的綽號是“Itch。"
They all searched for the lost child.	他們都在尋找這個走失的孩子。
Are you afraid of bugs?	你怕虫子吗？
Tulips will bloom soon.	鬱金香很快將盛開。
He is very good at playing violin.	他非常擅長拉小提琴。
The class begins at 8:30.	課程八點半開始。
Your opinion is very important to us.	您的意見對我們很重要。
The top of Mt. Fuji was covered with snow.	富士山顶盖满了雪。
I won't let him come here again.	我不會再讓他來這裡。
We want Tom.	我们想要汤姆。
I can't hear you.	我聽不到你的聲音。
Do you know why she couldn't come?	你知道她為什麼不能來嗎？
I walked as slowly as I could.	我盡可能的走慢一點。
I can't remember which is my racket.	我不記得哪個是我的球拍。
Tom plays chess better than me.	汤姆下国际象棋比我好。
He made good use of the money.	他好好的使用了​​這筆錢。
I arrived in Kobe around two thirty.	我在两点半左右到达神户。
Will it rain tomorrow?	明天会下雨吗？
Yes, it's such a nice evening.	是的，今天晚上很愉快。
Tom has been learning French for a few years.	汤姆学了几年法语。
May I pay with a travelers' check?	我可以用旅行支票支付嗎？
What're you going to do this weekend?	你這個週末要做什麼？
I'll send a letter to my mother.	我会给我的母亲寄封信。
The rain is letting up.	雨变小了。
Tom needs Mary's help.	湯姆需要瑪麗的幫助。
Tom told me that I shouldn't go out alone at night.	汤姆跟我说我不应该晚上一个人出门。
He studied English history.	他学了英国历史。
This place still looks the same as it did a long time ago.	這裡就像在古時候一樣。
They are talking about music.	他们在谈音乐。
How much is your monthly gas bill?	你每個月的瓦斯費多少錢？
I work too much.	我工作得太多了。
I hope you have sweet dreams.	祝你好梦。
There is a church near my house.	我家附近有一座教堂。
He earns three times more than me.	他赚的比我多三倍。
My blood pressure is 155 over 105.	我的血壓為155比105。
What do you do before breakfast?	早餐前你做什麼?
Did you hear about the fire yesterday?	你聽說了昨天的火災嗎?
I'm too busy to help him.	我太忙了，無法幫助他。
Speaking English isn't easy.	說英語是不容易的。
Tom had numerous girlfriends.	Tom有很多女友。
We lock the doors at night.	我们晚上锁门。
Are you through with your homework?	你把功課做完了嗎?
Tom had a lot of problems at the school.	汤姆在学校遇到了很多问题。
Our house was robbed while we were away.	我们走开的时候，房子被盗窃了。
Every cloud has a silver lining.	山窮水盡疑無路，柳暗花明又一村。
Do you think animals have souls?	你认为动物有灵魂吗？
He's not as tall as you are.	他沒你高。
He is afraid of snakes.	他害怕蛇。
He is living abroad at the moment.	他现在住在国外。
Cookie's mother died of cancer.	Cookie的母親死於癌症。
It's your move.	該你走了。
I've been to Australia three times.	我去過澳洲三次。
I'll call you up later.	我稍後會打電話給你。
She visited the old man in the hospital every day but Sunday.	她每天都去探視在醫院裡的老人，除了星期天。
I couldn't put up with her arrogant behavior.	我无法忍受她傲慢的态度。
Tom's daughter pretended not to know him when he came to pick her up from school in his battered old car.	当汤姆开着他破旧的雷泽车来接女儿放学时，他的女儿假装不认识他。
Clint Eastwood was elected mayor of Carmel.	克林伊斯威特當選為卡梅爾市市長。
I don't like wine.	我不喜欢红酒。
That is all I have.	那就是我全部的所有。
How many people are there in your family?	你家有几口人？
You can bank on that.	你可以寄希望于此。
I'm on my way to meet Tom at the station right now.	我现在在去车站见汤姆的路上。
What happened? The car's slowing down.	發生了什麼事？車子慢下來了。
Don't be silly. I can't do it.	别犯傻。我能做到。
What do you want to be?	你想成为什么？
I need to complete it as soon as possible.	我需要尽快完成。
Mistakes like these are easily overlooked.	这种错误很容易被人忽视。
I was so cold.	我很冷。
You live and learn.	你一面生活一面學習。
My sister is shorter than you.	我妹妹比你矮。
Why do people not always tell the truth?	为什么人们不总是讲真话？
I feel like going on a trip.	我想去旅行。
My business has at last gotten on the right track.	我的生意終於上了軌道。
No comment.	禁止评论。
She decided to resign.	她決定辭職了。
What time does it open?	什么时候开门？
I'm sure Tom can't swim.	我确定汤姆不会游泳。
Is there a discount if you pay in cash?	用現金付的話會有折扣嗎?
Did you just get to know him?	你是不是刚认识他？
She asked us several questions.	她问了我们好几个问题。
I'll get you whatever you want.	我會給你任何你想要的東西。
She's not prettier than her mother.	她没有比她妈妈更漂亮。
I made an apple pie for you.	我做了一個蘋果派給你。
It has had no effect on him.	这对他没有影响。
A plane is flying above the city.	一架飛機在這個城市上空飛行。
She lived a lonely life.	她的生活很寂寞。
You have to be proactive.	你必须积极主动。
We suggest raising the fees.	我們建議提高收費。
A brilliant future lay before him.	大好的前途摆在他面前。
School starts next week.	學校下週開學。
I will give you anything you want.	我會給你任何你想要東西。
He likes both music and sports.	他喜歡音樂和運動。
We are going to climb that mountain.	我們將要去爬那座山。
Tom took out his key and opened the door.	汤姆掏出钥匙开了门。
Tom put his hand over the microphone.	汤姆把手放在麦克风上。
Could you please sign the register?	請您在登記冊上簽名好嗎？
The two of us are students.	我們兩個是學生。
He could not answer that question.	他無法回答這個問題。
He runs as fast as you.	他跑得跟你一樣快。
Do not read while walking.	不要边走边看书。
You'd better go back home now.	你現在最好回家。
The moon is shining.	月光在照耀著。
It's me.	是我。
There was a sudden change of plan.	計劃突然改變。
It is too early to get up.	時間還早不用起床。
I wish he had attended the meeting.	要是他有參加這場會議就好了。
I've had enough.	我已經吃飽了。
Yesterday's weather wasn't very good.	昨天天氣不是很好。
Tom added broccoli to the stew.	汤姆往炖菜里加了西兰花。
I should do it.	我应该去做。
The boy actually was going to do it.	這個男孩實際上是要去做。
What is the name of that river?	這條河的名字是什麼?
They don't always obey their parents.	他们并不总是服从父母。
The population of the city is about 100,000.	这座城市的人口约有100 000。
I am four months pregnant.	我怀孕四个月了。
There are several ways to measure speed.	测速的方法有很多。
Were you able to do it?	你有能力去做这个吗？
She has a very open personality.	她是个很坦率的人。
Mary plays the piano.	瑪麗彈鋼琴。
He is very busy writing stories.	他忙于写故事。
Theory and practice should go hand in hand.	理论得联系实际。
How many years did Tom spend in Boston?	汤姆在波士顿呆了几年？
Take a deep breath and then relax.	深呼吸，然後放鬆。
Is this the key you are looking for?	这是你找的钥匙吗？
Do you want any of these flowers?	你要這些花中的任何一朵嗎？
You'll never know the truth.	你永远不会知道真相。
I can wait for you.	我可以等你。
The people of London are very proud of this bridge.	倫敦人對這座橋感到非常自豪。
Please come whenever you like.	請你想什麼時候來都可以。
Let your hair down a little.	稍微随意一点。
He denied having written to me.	他否認曾寫信給我。
I'm as old as he is.	我和他同年。
He came home late last night.	他昨晚很晚回家。
Don't let them forget me.	别让他们忘了我。
Let's ask if it's true.	让我们来问问这是不是真的。
Mary bought a skirt and a blouse.	玛丽买了一件衬衫和一条连衣裙。
I'm short of cash at the moment.	此刻我缺少現金。
It must be around here somewhere.	我想應該在這附近。
She warned him not to go out at night alone.	她警告他晚上不要一个人出去。
My grandfather speaks very slowly.	我的祖父说话非常慢。
Your work is below average.	你的工作表現低於平均水平。
I looked around, but saw nobody.	我環顧四周，卻沒看見任何人。
You can go anywhere you want.	你可以去任何你想去的地方。
It's over there.	在那里。
He told me to speak more slowly.	他告訴我要說慢一點。
I gave her just what she needed.	我給她的正是她所需要的。
We need your help.	我們需要你的幫忙。
Someone is knocking on the door.	不知是谁在敲门。
The prosecutor asked me a leading question.	检察官问了我一个引导性的问题。
Where did it come from?	它从哪里来？
Choose the one you like.	選一個你喜歡的。
My sister usually walks to school.	我妹妹通常走路去學校。
My grandfather is very healthy.	我的祖父非常健康。
I'm looking forward to seeing you again.	我期待再見到你。
Soccer is more popular than tennis.	足球比網球更受歡迎。
I studied for one hour.	我讀了一個小時的書。
I owe ten dollars to her.	我欠她10美元。
He went back to the store.	他回店里去了。
I'll give you this camera.	我會給你這台相機。
You can rely on him.	你可以依靠他。
I gave my sister a dictionary.	我給了我妹妹一本字典。
I'll take your suitcase to your room.	我會把你的手提箱拿到你的房間。
Stay out of my business.	别管我的事。
It is fun to speak in English.	说英语很有趣。
Tom said he read a book about this ship.	Tom说他在这次的航行中读了一本书。
I guess it depends on the weather.	我想這取決於天氣。
I rode my bicycle to the store.	我騎了我的自行車去商店。
Ask him what to do next.	问他下一步该做什么。
I'm a good guy.	我是一个好人。
He came to Japan seven years ago.	他七年前來日本。
Is it right for a doctor to decide when someone should die?	由医生来决定某人何时该死是对的吗？
Fortunately, no passengers were injured.	万幸，没乘客受伤。
Tom was too afraid to do anything.	Tom 太胆小了以至于做不了任何事
Do you need an ambulance?	你需要救護車嗎?
Your name has been crossed off the list.	你的名字已经从名单删除了。
Tom thanked Mary for coming.	汤姆感谢玛丽的光临。
The colors of the American flag are red, white and blue.	美国国旗的颜色是红白蓝。
I swim once a week.	我每周游一次泳。
I had my teeth examined at the dentist's.	我在牙医那儿检查了牙齿。
I've already eaten dinner.	我已經吃晚飯了。
My mother made me a sweater.	我媽媽為我做了一件毛衣。
Tom got fat.	汤姆变胖了。
Call me at six tomorrow morning.	明天早上6点给我打电话。
Are you listening to English?	你在聽英語嗎？
My aunt made me a new skirt.	我姑姑做了一條新裙子給我。
I guess that would be all right.	我想那應該沒關係的。
What's this?	這是什麼啊？
It's difficult to understand his theory.	他的理论很难懂。
He had a large family to support.	他要養活一個大家庭。
I don't have any change.	我没任何零钱。
They were persecuted.	他们受到迫害。
Tom didn't agree to do it.	汤姆不同意做。
This factory manufactures CD players.	这家工厂生产CD机。
He got his meaning across to me.	他把他的意思對我講清楚了。
I don't have any children.	我没有孩子。
Do you want anything?	你想要什麼嗎？
My brother would often stay up all night reading novels.	我哥哥經常熬夜看小說。
Tom has been driving all day.	汤姆整天都在开车。
The room originally had no furniture.	本来这间房间里没有家具。
Tell me what happened.	告訴我發生了什麼事。
He said, "I want to be a scientist."	他說：“我想成為科學家。”
Coffee, please.	我要咖啡，谢谢。
She always wears black.	她總是穿著黑色的衣服。
If I were invisible, I wouldn't have to wear anything.	若我是隱形的，就不用穿衣服了。
He cheated on the biology exam.	他在生物學考試時作弊。
I took a cab to the station.	我搭了計程車到車站。
How much is the tour per person?	一個人的旅費多少錢?
Tom was a teacher for nearly thirty years.	汤姆当教师约三十年了。
We didn't get an apology.	我们没有收到过道歉。
A bridge was built across the river.	人們修了一座橋過河。
These shoes are hers.	這些鞋是她的。
She found her purse under the desk.	她發現她的錢包在桌子底下。
What do you want now?	您现在想要什么？
You know I'm right.	你知道我是正确的。
Does this letter have to be written in English?	這封信必須用英文寫嗎?
We can't go outside because it's raining.	因为下雨，我们不能出去。
He is just pulling your leg.	他只是跟你開玩笑。
I looked around me.	我看了看周圍。
Has he finished his homework yet?	他完成他的功課了嗎？
Tom is a rabbi.	汤姆是个拉比。
Tom criticized Mary in front of everyone.	汤姆在所有人面前批评了玛丽。
Let's visit some temples tomorrow.	讓我們明天參觀一些寺廟。
That's a nice car you're driving.	你開的那輛車很不錯。
Could you lend me the book?	你能借我这本书吗？
I'll see you later.	等會兒見。
You're not old enough to get a driver's license.	你还没到可以拿驾驶执照的年龄。
I've been there a couple of times.	我去過那裡幾次。
She told me that she would go to Paris in August.	她跟我说八月份她会去巴黎。
"What's going on in the cave? I'm curious." "I have no idea."	"山洞裡發生了什麼事?" 我很好奇。"我不知道。"
It is an hour's drive from here to there.	从这里到那里驾车一小时。
It's already 11.	已经是11点了。
Let's try it out.	我们试试。
He doesn't seem to be an American.	他似乎不是美國人。
It's just your imagination.	那只是你的想象。
I understand your position perfectly.	我十分理解你的立場。
I couldn't get him to stop smoking.	我無法讓他停止吸煙。
I went to the hospital yesterday.	我昨天去了醫院。
I told her not to let go of the rope, but she did.	我叫她不要松开绳子，但是她做了。
He was ill, so he couldn't come.	他病了，所以他不能來。
I am very interested in French.	我對法語很感興趣。
I love her.	我愛她。
It's rare to find big yards in Japan.	能在日本找到这样的大的院子实属罕见。
She always speaks in English.	她一直说英语。
Tom goes to school on foot.	湯姆走路去上學。
Tom learned to ride a bike when he was ten.	汤姆在10岁的时候就学骑了自行车。
Please sing.	请唱歌。
I really don't know that woman.	我完全不认识那个女人。
Tom is overweight.	汤姆超重了。
When did you learn to swim?	你什么时候学会游泳的？
It'll cost at least five dollars.	它至少要花五美元。
How dare you speak like that?	您怎么敢这样说话？
We'll have to do that, too.	我们也不得不做
I've seen a lot of him recently.	我最近常看到他。
He is one of the greatest artists in Japan.	他是日本最伟大的艺术家之一。
Why did you begin without me?	为什么你不等等我就开始了？
It is getting lighter outside.	外面天色越來越亮了。
We had a heated discussion about it.	我們激烈的討論了這個問題。
Was there anyone in the room?	房间里有人吗？
Would 9 o'clock be all right?	9點可以嗎？
I owe you ten dollars.	我欠你10美元。
He is likely to arrive soon.	他可能很快就到了。
The last person I told my idea to thought I was nuts.	最后一个听我说我的主意的人认为我疯了。
He wants you to stay here.	他要你留在這裡。
I hope to retire from work when I'm 60 years old.	我希望在六十歲時退休。
Is that your car?	那是你的車嗎?
I want him to play the guitar.	我要他彈吉他。
He doesn't have any knowledge about American democracy.	他一点都不知道美国的民主。
I remember last summer's adventure.	我记得去年夏天的历险。
Ask Tom.	去问汤姆。
I am thinking about that matter.	我在想那個問題。
Tom certainly has a tough job.	汤姆确实有个麻烦的工作。
Are you tired?	你累了嗎?
I had a very good time today.	我今天玩得很開心。
She is absorbed in rock music.	她沉迷于摇滚乐。
We're not the ones getting married.	我们不是结了婚的人。
Smoking is bad for your health.	吸煙對你的健康不好。
My briefcase is full of papers.	我的公事包裡裝滿了文件。
He held a package under his arm.	他把一個包裹挾在腋下。
Have you been eating?	你在吃东西吗？
What kind of wine do you have?	您有什麼樣的葡萄酒？
These flowers grow in warm countries.	這些花生長在溫暖的國家。
Lots of famous people come here.	許多名人來這裡。
Why did you come home so late?	你為什麼這麼晚回家？
We watched a baseball game on television.	我們看了電視上的棒球比賽。
Let's skip out before Tom gets back.	咱在汤姆回来之前开溜吧。
I am getting off at the next station.	我在下一站下车。
He traveled around the world.	他周遊世界各地。
I'm extremely grateful to you.	我無法表達我對你的感謝。
I wrote a letter.	我写了一封信。
He arrived at the station at seven.	他7点到了火车站。
He pretended to be a stupid man.	他假裝是個愚蠢的人。
Every man has his price.	每个人都有个价。
It is time you went to bed. Turn off the radio.	你该上床了。把收音机关了。
He has no choice but to resign.	他沒有選擇，只能辭職。
I was writing a letter when he came.	當他進來的時候, 我正在寫信。
That house belongs to him.	這棟房子是屬於他的。
We got there at the same time.	我們在同一時間到了那裡。
Even children can read this book.	即使是小孩也能讀這本書。
I can't go with you because I'm very busy.	我不能和你们一起去，因为我很忙。
Saudi Arabia is very rich in oil.	沙烏地阿拉伯有非常豐富的石油。
Don't let me down.	别让我失望。
I consider myself fairly fluent in French.	我认为自己的法语相当流利。
The flood caused a lot of damage.	洪水造成了很大的損害。
I expected him to offer some help.	我期待他提供一些幫助。
I can't bring myself to do such a thing.	我不能让自己做这样的事。
He regrets not having worked harder at school.	他后悔在校时没用功读书。
She has a cottage by the sea.	她在海边有一间小屋。
Keep it at a lower temperature.	保持在較低的溫度。
Go and buy three bottles of coke.	去買三瓶可樂。
I made all my family leave home.	我要我所有的家人離開家。
I have no homework today.	我今天沒有功課。
You go to school, don't you?	你去上學，不是嗎?
His speech captured our attention.	他的演講吸引了我們的注意。
Thanks for your quick answer.	谢谢您的迅速回复。
I've got a frog in my throat.	我緊張得說不出話來了。
You're in big trouble.	你们有大麻烦了。
There are more clouds today than yesterday.	今天的雲比昨天的多。
Bringing up a baby is hard work.	养大一个宝宝是一项艰难的工作。
I found a good place to buy fruit a couple of days ago.	前几天我发现了一个买水果的好地方。
Tom wrote two books.	汤姆写了两本书。
You should tell the truth.	你该把事实说出来。
I'll call you as soon as I can.	我会尽快给你打电话的。
We just want to find Tom.	我們只是想找Tom。
What do you know about the CIA?	你知道中央情报局的什么？
We all chipped in to buy our teacher a birthday present.	我们所有人凑份子给老师买生日礼物。
His brother goes to school by bus.	他哥哥搭公車去學校。
All men are equal under the law.	法律之前人人平等。
He was very patient.	他非常有耐心。
The whole family was sick in bed.	全家都病倒了。
Tom doesn't usually eat breakfast.	汤姆一般不吃早饭。
He is poor at chemistry.	他的化学很差。
I owe it you that I am still alive.	多亏了你，我还活着。
I'm young.	我還年輕。
There are more than 4,000 languages in the world.	全世界有超过4000多种的语言。
I should have left earlier.	我應該要早點出發的。
The cat is looking at the fish.	猫看着鱼。
These figures don't add up.	这些数字总数不符。
He works for an advertising agency.	他為一家廣告公司工作。
I appreciate good music.	我欣賞好音樂。
The police arrested the suspect.	警方逮捕了嫌疑人。
You are a good person.	您是一個好人。
I can place the palms of my hands on the floor without bending my knees.	我不用曲膝就能把我的手掌放到地上。
She asked how to cook the fish.	她问了怎么烧鱼。
Why don't you sit down and relax?	你為什麼不坐下來放鬆一下。
Is there someone who could help me?	有誰可以幫我嗎？
I am not the least bit worried.	我一點也不擔心。
I have too many things on my mind these days.	这几天我脑袋里的事情太多了。
We'll talk later.	我们过一会再谈。
I always lock my room.	我總是鎖上我的房間。
I heard him play the piano once.	我聽過一次他彈鋼琴。
I like football.	我喜歡足球。
The traffic accident deprived him of his sight.	這場交通意外讓他失明了。
I hope he hasn't had an accident.	我希望他沒發生意外。
America was discovered by Columbus in 1492.	美國在1492年被哥倫布發現。
We got to the station at six.	我們六點鐘到了車站。
Would you please look after my dog tomorrow?	你明天可以幫我照顧一下我的狗嗎?
Today, many people worry about losing their jobs.	今天，許多人擔心失去工作。
What kind of meal did you eat?	您吃了什麼樣的膳食？
This dress cost me over 40,000 yen.	這件衣服花了我40000日元。
It doesn't surprise me.	这并不让我惊讶。
He is used to getting up early.	他習慣早起。
That's a nice coat.	那是一件不錯的大衣。
He's a professor at the National University.	他是国立大学的一名教授。
I'm going to change my clothes.	我要去换衣服。
He was waiting for a long time.	他等了很長的時間。
Have you ever seen a UFO?	你看過飛碟嗎？
I love her so much that I can't leave her.	我如此地愛她所以我無法離開她。
I've never been abroad before.	我以前从没去过国外。
What will you be doing at this time tomorrow?	你明天这个时候会是在做什么？
My baggage is missing.	我的行李丢了。
Would you look after my cat?	你可以照顧一下我的貓嗎?
I think he's happy.	我想他很快樂。
She was in America last month.	她上個月在美國。
He usually goes to school by bus.	他經常搭公車上學。
He knows how to play the piano.	他知道如何彈鋼琴。
He's had many unhappy experiences.	他有许多不愉快的经历。
Does he speak English?	他说英语吗？
He used to be a nice boy.	他以前是個好男孩。
I really am unlucky!	我真的很倒霉！
I like movies a lot.	我很喜歡電影。
How do you feel now?	你现在感觉如何？
What else have you figured out?	你还发现什么了？
He invited me to dinner.	他邀請我吃晚飯。
She said she had been happy.	她說她以前很快樂。
I never thought that would happen.	我从来没想到会发生那种事。
It's cold.	天很冷。
Tom doesn't like to wear a watch.	汤姆不喜欢戴手表。
Tom is deceitful.	汤姆是个骗子。
The two sides hold talks this week.	双方本周举行会谈。
Goodbye!	告辞！
If you want something to be done right, sometimes you've just got to do it yourself.	如果你想做对一件事，有时候你得亲力亲为。
How far is it to the station?	到火車站有多遠？
As the train came to a halt, all of the passengers wondered what was happening.	当列车停止时，所有的乘客都想知道发生了什么。
He is taller than his brother.	他比他的弟弟高。
He always wears dark glasses.	他总是带着黑色眼镜。
You're such an idiot!	你真是個傻瓜！
Do you know where to find Tom?	你知道去哪找汤姆吗？
This is their house.	这是他们家。
I don't want to swim.	我不想游泳。
He gave him a book.	他給了他一本書。
Tom is afraid to go out alone at night.	汤姆害怕晚上一个人出门儿。
Comb your hair before you go out.	在你出門之前，把你的頭髮梳一梳。
I don't want to buy a newspaper today.	我今天不想买报纸。
I never played golf.	我从没玩过高尔夫。
This is a small town.	这是个小镇。
This job pays 10,000 yen a day.	這個工作一天有10,000日圓的報酬。
This is an important event.	这是个重要事件。
He became a pianist.	他成為了一個鋼琴家。
I'm staying at my aunt's.	我住在我姑姑家。
He was hit by a car and died instantly.	他被車撞了之後便過世了。
I'm anxious to see you.	我渴望見到你。
The boat was piloted safely into harbor.	船被安全地领入港口。
Look at the large building over there.	看那边那幢高楼。
I'm going to the park.	我去公園。
You need to put more water in the vase.	你需要往花瓶里加更多的水。
I was frightened by the sight.	我被这情景吓到了。
Can I have a few words with you?	可不可以和你说几句？
Many young people in Japan eat bread for breakfast.	許多日本的年輕人吃麵包當作早餐。
There is something wrong with my car.	我的車子有問題。
He can drive a car.	他會開車。
I like your city.	我喜欢你们的城市。
I know that you still want to be with me.	我知道你还是想跟着我。
Will you please show me the way?	請您給我指一指路好嗎？
I have always kept my promises.	我一直信守我的諾言。
What is learned in the cradle is carried to the tomb.	搖籃裡學的帶到墳墓。
Honesty is the primary reason for his success.	誠實是他成功的主要原因。
My wife has just cleared the table.	我太太剛剛清理了桌子。
Who is the author of this book?	這本書的作者是誰?
I can speak Chinese, but I can't read it.	我會說中文，但是我不會讀中文。
I've found a place to live.	我找到了个住处。
I am studying now.	我现在正在学习。
My brother is a college student.	我哥哥是個大學生。
My father had me wash the car.	父亲让我洗汽车。
My father is sweeping the garage.	我父親正在清掃車庫。
It seems so familiar.	这看起来似曾相识。
A glass of cold water is very refreshing in hot weather.	一杯冷水在暑热的天气里十分提神。
Can anyone pronounce this word?	有人能发这个词的音吗？
It's later than you think.	時間比你想的還要晚。
School begins at 8:30 a.m.	學校在上午八點三十分開始上課。
"I saw her five days ago," he said.	他说：“我五天前见过她。”
They had a baby last week.	上週他們生了一個孩子。
He got a master's degree in law.	他得到了法律碩士學位。
Actually, it was pretty boring.	实际上，我非常无聊。
When I first came back to Boston, I was really lonely.	当我第一次回波士顿时，我真是孤独。
I planted a peach tree in my yard.	我在我的院子里种了棵桃树。
I don't have any money on me.	我身上沒有錢。
Who exactly is responsible?	究竟谁要负责？
I won't talk to him anymore.	我不會再跟他說話了。
I haven't finished my homework yet.	我還沒有完成我的作業。
Nobody can help me.	没有人能帮我。
I'll deal with this problem as soon as I can.	我会尽快处理这问题。
I want to keep moving.	我想继续走。
Are they both the same?	他们都是一样的吗？
There is a call for you.	有你的電話。
The length of this ship is 30 meters.	这艘船的长度是30米。
I don't know why he's so mad.	我不知道她為什麼如此生氣。
I found it by chance.	我偶然找到了它。
Tom says he left a note.	汤姆说他留了张便条。
The sky grew darker and darker.	天空变得越来越暗了。
He had his socks on inside out.	他把他的襪子穿反了。
Do you like pirate movies?	你喜欢盗版电影吗？
Tom says he's not feeling any better.	Tom说他感觉不舒服。
As far as I know, your letter is under that book.	據我所知，你的信在那本書下面。
You are a good person.	你是一個好人。
This book's new.	这本书是新的。
She banged the table with her fist.	她用拳頭拍了桌子。
He is at her side.	他在她的旁邊。
They may have missed the train.	他們可能錯過了火車。
Tom would still be alive if he had been wearing his seat belt.	要是汤姆系上安全带的话，他就不会死的。
We want a new carpet.	我们想要一条新毯子。
Please wait a little while longer.	請稍等一會兒。
Would you mind shutting the door?	請你把門關上好嗎?
Would you like to leave a message?	你要留言嗎？
Can you drive a car?	您会开车吗？
You ought to see a dentist.	你應該去看牙醫。
Would you mind opening the window?	你介意打開窗戶嗎?
Will he be here soon?	他很快就會到這裡嗎?
I prefer working to doing nothing.	我寧願工作也不願閒著。
She says she will call you later.	她說她晚一點會打電話給你。
Where are the showers?	浴室在哪里？
I was the last one to see Tom.	我是见汤姆的最后一个。
Tom remained standing as the others sat down.	别人都坐下了，汤姆还站着。
The leaves fell.	叶子落了。
Speaking foreign languages is not easy.	講外語是不容易的。
We could do something big.	我们能做点大事。
You dropped your pencil.	你把你的铅笔弄掉了。
He does not like tennis.	他不喜欢网球。
I don't want to participate in the ceremony.	我不想参加典礼。
Don't talk to others during the class.	上課中不要跟別人講話。
He has been to France three times.	他訪問過法國三次。
Tom tried to return the swimsuit for a larger size, but the clerk told him that wasn't allowed.	汤姆试过还回泳衣来换成更大一号的，但是员工告诉他那是不被允许的。
Do as you please.	你可以隨心所欲。
If you're busy, I'll help you.	如果你忙，我會幫你。
I heard an unusual sound.	我聽到一個不尋常的聲音。
He built a new house for himself.	他給自己蓋了一棟新房子。
You're the one who decided to do this job, right?	你是决定做这个工作的那个人，对吗？
May I have something hot to drink?	我可以喝一點熱的東西嗎?
A crowd gathered on this street.	人群聚集在这条街上。
I have already had my breakfast.	我已經吃過了我的早餐。
Be at the station at 11 o'clock sharp.	十一点准时到车站。
How to overcome the high value of the yen is a big problem.	如何克服日元升高是个大问题。
I think that she knows the truth.	我覺得她知道真相。
When will the world come to an end?	世界末日是什么时候？
You must look over the contract before you sign it.	你在签字前必须察看这合同。
I don't like homework.	我不喜欢作业。
I plan to go there.	我打算去那裡。
I am dying for a cold drink.	我迫切需要冷饮。
They are leaving in three days, that is to say June 10th.	他們將在三天後離開, 那也就是說在六月十日。
How much longer will you stay in Boston?	你在波士顿再待多久？
It's you I've come for.	我是为你来的。
I'd like to go to France one day.	我想有一天能去法国。
Are you taking any medicine regularly?	你經常服用任何藥物嗎？
I can't find what I want.	我不知道我需要什么。
I am afraid of dogs.	我怕狗。
The girl did not say anything.	這個女孩什麼也沒說。
I couldn't make myself understood.	我無法讓別人了解我的意思。
We must never confuse the two.	我们决不能混淆两者。
I came to this country for the purpose of studying music.	我來這個國家的目的是學習音樂。
Do you want to come along?	你想不想一起去？
All my friends will be there.	我所有的朋友都会到那儿。
Is this your pen?	這是你的筆嗎？
Do you think I can help?	你认为我能帮忙吗？
Tom realized it was time to leave.	汤姆意识到该走了。
He made the most of his opportunity.	他盡力地利用了這個機會。
Can I go swimming this afternoon?	我今天下午可以去游泳嗎？
We took a wrong turn.	我們拐錯彎了。
Could I have the check?	把帳單給我好嗎？
You are suitable for the job.	你很適合這份工作。
Life without love is just totally pointless.	没有爱情的生活毫无意义。
She is very pretty.	她很可爱。
Dad bought a book for me.	爸爸给我买了书。
The war has not ended.	战争还没结束。
Can you lend me your bicycle?	你能把你的自行车借给我吗？
He left his glasses at our place.	他把眼镜落在我们这里了。
I'll stake my reputation on it.	我赌上我的名声。
How many books does he have?	他有多少册图书？
This is ice.	這是冰塊。
Half a million children still face malnutrition in Niger.	尼日尔仍然有50万孩子面临着营养不良。
I can't stand this pain any more.	我不能再忍受這種痛苦了。
Let me see that.	讓我看看。
Are you saying that you give up?	你是说你放弃了吗？
You had better go now.	你最好现在就走。
I can’t do any better.	我做得好到不能再好了。
The kidnappers showed no sign of giving up.	這些綁匪沒有放棄的跡象。
Pizza is my favorite food.	比薩是我最喜歡的食物。
We had a heavy rain last night.	昨晚下了一場大雨。
Safety is the most important thing.	安全是最重要的事情。
Someone must've stolen your watch.	一定是有人偷了你的手錶。
All of these meetings are in English.	所有這些會議都是以英語進行的。
My parents aren't old yet.	我父母还不老。
I have a daughter.	我有一个女儿。
Patience is sometimes the most effective weapon.	耐心有时候是最有效的武器。
He lost his eyesight in an accident.	他在一次意外中失去了他的視力。
He was killed by a single bullet.	他被一顆子彈打死了。
I'd like an orange juice.	我想要一杯柳橙汁。
I gave it to my mommy.	我给我妈了。
I said to myself, "That's a good idea."	我对自己说，“那是个好主意。”
What is the meaning of this word?	這個字的意思是什麼？
We don't want any freeloaders around here.	我們不希望有人在這裡吃霸王餐。
Is he breathing?	他在呼吸嗎?
She went to Italy to learn Italian.	她到意大利學習意大利語。
How is the weather there?	那里的气候怎么样?
Christmas is soon, right?	聖誕節很快就到了，對嗎？
I'm leaving for Canada tomorrow.	我明天要離開去加拿大。
